# sendbird	stream	automation	tier	section	note
`GroupChannel` / `SendbirdGroupChannel`	`Channel` of type `'messaging'` (or `'team'`)	agent-guided	curated	2. Channels: model & queries	`channel.url` -> `channel.cid` (`type:id`) / `channel.id`; per-kind branching -> reads of `channel.type`. `watch()` loads state and subscribes.
`OpenChannel` + `.enter()` / `.exit()`	`client.channel('livestream', id)` + `channel.watch()` / `stopWatching()`	agent-guided	curated	2. Channels: model & queries	-> sendbird-notes.md#openchannel-enter-exit
`FeedChannel` / `NotificationMessage`	- (gap)	manual	curated	2. Channels: model & queries	No equivalent in stream-chat. Approximate with an admin-post-only `messaging` channel (loses templates/categories/impression analytics), or adopt the separate Stream Feeds product. Section 15.
`isDistinct: true` (dedupe by member set)	`client.channel('messaging', { members: [...] })` with **no id**	agent-guided	curated	2. Channels: model & queries	Stream derives a deterministic id from the member set. Passing an explicit id disables dedupe. Members of a distinct channel cannot later change.
`isSuper` / `isBroadcast` / `isPublic` / `isDiscoverable` flags	- (gap)	manual	curated	2. Channels: model & queries	Not per-channel flags: scale/broadcast/discoverability are the channel **type's** server-side config + permission grants. The client picks a type name; it cannot define one.
`GroupChannelModule.createChannel(params)` / `createChannelWithUserIds`	`client.channel(type, id?, { members, ...custom })` then `await channel.create()`	agent-guided	curated	2. Channels: model & queries	-> sendbird-notes.md#groupchannelmodule-createchannel-params-createch
`GroupChannelModule.getChannel(url)` / `OpenChannelModule.getChannel`	`client.channel(type, id)` then `await channel.watch()`	agent-guided	curated	2. Channels: model & queries	Synchronous handle; `watch()` loads state. **Carry the type alongside the id** - you can't resolve a channel from an id alone (`cid` = `type:id`).
`GroupChannel.updateChannel(params)`	`channel.updatePartial({ set: { name, image, ... } })`	agent-guided	curated	2. Channels: model & queries	-> sendbird-notes.md#groupchannel-updatechannel-params
`GroupChannel.delete()`	`channel.delete()` (soft)	agent-guided	curated	2. Channels: model & queries	**Stream soft-deletes by default; Sendbird's delete is permanent** - a 1:1 port silently changes retention.
`GroupChannel.hide()` / `.unhide()`	`channel.hide(userId?, clearHistory?)` / `channel.show()`	agent-guided	curated	2. Channels: model & queries	No `isHidden()` getter; read the `hidden` boolean off the query response.
`GroupChannel.markAsRead()`	`channel.markRead()`	agent-guided	curated	2. Channels: model & queries	Near-rename. `<Channel>` auto-marks read; delete manual timers (kill-list #14). Requires "Read Events" enabled on the channel type.
`GroupChannelListOrder` enum	`ChannelSort` object, e.g. `{ last_message_at: -1 }`	agent-guided	curated	2. Channels: model & queries	`LATEST_LAST_MESSAGE` -> `{ last_message_at: -1 }`, etc.
`GroupChannelFilter` (setter methods)	`ChannelFilters` object literal	agent-guided	curated	2. Channels: model & queries	-> sendbird-notes.md#groupchannelfilter-setter-methods
Channel metadata / meta counters	`channel.updatePartial` read-modify-write	agent-guided	curated	2. Channels: model & queries	No atomic counter primitive - Sendbird's dedicated endpoints were atomic; serialize concurrent writers app-side if it matters.
`getChannelWithoutCache` / `serialize` / `buildChannelFromSerializedData`	`channel.query()` / re-`client.channel().watch()`	manual	curated	2. Channels: model & queries	Channels aren't serialized in Stream; rebuild from `(type,id)` + `watch()`/`queryChannels`.
`channel.sendUserMessage(params)` -> `MessageRequestHandler`	`await channel.sendMessage({ text })` **via the UI path**	agent-guided	curated	3. Messages: sending & state	**Only the UI-context send is optimistic** - `channel.sendMessage` on the client inserts no pending message. Send through `MessageComposer` / `useMessageInputContext().sendMessage`, or override `<Channel doSendMessageRequest>`. Kill-list #1.
`.onPending()` / `.onSucceeded()` / `.onFailed(code)`	`message.status` (`MessageStatusTypes`) + try/catch	agent-guided	curated	3. Messages: sending & state	Drop the callback chain. `PENDING`->`'sending'`, `SUCCEEDED`->`'received'`, `FAILED`->`'failed'`. `SCHEDULED`/`CANCELED` have no equivalent (section 15).
Optimistic identity: `reqId` swapped for `messageId` on success	Stable client-generated id	agent-guided	curated	3. Messages: sending & state	Delete `reqId` reconciliation - Stream keeps one id across the lifecycle (list keys, retry, edit, delete). Kill-list #2.
`channel.resendMessage(failed)` + `isResendable`	`retrySendMessage(message)` from `useMessagesContext`	agent-guided	curated	3. Messages: sending & state	Default `MessageList` renders tap-to-retry on failed messages, so custom resend UI is usually unnecessary. Pass the failed `LocalMessage`; no user-vs-file branch.
`removeFailedMessage(reqId)`	`removeMessage(message)` from `useMessagesContext`	agent-guided	curated	3. Messages: sending & state	Local-only cleanup of a failed/optimistic message.
`channel.updateUserMessage(id, params)` / `updateFileMessage`	`client.updateMessage(message)` / `client.partialUpdateMessage(id, { set, unset })`	agent-guided	curated	3. Messages: sending & state	Edit is **client-level**, keyed by id; one path for text and files. Prefer `partialUpdateMessage` (full `updateMessage` can clobber `attachments`).
`channel.deleteMessage(message)`	`client.deleteMessage(messageId, hard?)`	agent-guided	curated	3. Messages: sending & state	Client-level, by id; **soft by default** (reappears as `type: 'deleted'`).
`MessageType` / `isUserMessage()` / `isFileMessage()` / `isAdminMessage()`	`message.type` + `message.attachments.length`	agent-guided	curated	3. Messages: sending & state	`isAdminMessage` -> `type === 'system'`; `isFileMessage`/`isMultipleFilesMessage` -> `attachments.length > 0`; `isUserMessage` -> `'regular'` with text + no attachments.
`AdminMessage`	`MessageResponse` with `type === 'system'`	agent-guided	curated	3. Messages: sending & state	No sender user; render via the `MessageSystem` override. Generated server-side.
`customType` / `data` (two reserved slots)	arbitrary top-level custom fields, or a custom `attachment.type`	agent-guided	curated	3. Messages: sending & state	Stream persists nested JSON directly (no stringify); route custom rendering through `attachment.type` + the `UnsupportedAttachment` override.
`silent` flag	`type: 'ephemeral'` **or** `options.skip_push`	agent-guided	curated	3. Messages: sending & state	**Not identical** - Sendbird `silent` = persisted-but-quiet; Stream `ephemeral` = transient. For persisted-but-no-push, send a `regular` message with `skip_push`, not `ephemeral`.
Threads: `msg.getThreadedMessagesByTimestamp(ts, params)`	`channel.getReplies(parentId, { limit, id_lt })`	agent-guided	curated	3. Messages: sending & state	Timestamp anchor -> id cursor; response `{ messages }` without a bundled parent. Send replies with `parent_id` (+ `show_in_channel`).
`ReplyType` enum (`NONE`/`ALL`/`ONLY_REPLY_TO_CHANNEL`)	- (gap)	manual	curated	3. Messages: sending & state	No per-query enum. `show_in_channel: true` on a reply makes it also appear in the main list; there is no toggle to hide all replies from the list.
`channel.copyMessage(msg, target)`	- (gap)	manual	curated	3. Messages: sending & state	No server copy - read the source and `target.sendMessage({ ...content })`; the return shape differs.
`channel.translateUserMessage(msg, langs)`	`client.translateMessage(msg.id, lang)` (per language)	agent-guided	curated	3. Messages: sending & state	Read results from `message.i18n`. Requires translation enabled on the app.
`FileMessage` / `MultipleFilesMessage`	one message with `attachments: Attachment[]`	agent-guided	curated	4. Attachments & media	`type: 'image' | 'file' | 'video' | 'audio' | 'giphy'` per entry. Stream mixes images + files freely in one message (Sendbird's multi-file bundle was images-only).
`channel.sendFileMessage(params)` (uploads AND sends atomically)	`channel.sendImage`/`sendFile` (CDN upload) then `channel.sendMessage({ attachments })`	agent-guided	curated	4. Attachments & media	**Two steps.** In practice don't hand-roll it - `MessageComposer`'s `AttachmentManager` owns the upload->attach->send pipeline and per-file state.
`sendMultipleFilesMessage`	one `channel.sendMessage({ attachments: [...] })`	agent-guided	curated	4. Attachments & media	Stream was multi-attachment from the start - no special call. Cap via `AttachmentManager.maxNumberOfFilesPerMessage`.
`onFileUploaded` progress callbacks	`AttachmentManager` upload state (`AttachmentLoadingState`)	agent-guided	curated	4. Attachments & media	`'uploading' | 'finished' | 'failed' | 'blocked' | 'pending'` per file, not a callback.
`UploadedFileInfo` fields	one `Attachment`	agent-guided	curated	4. Attachments & media	`url` -> `asset_url`/`image_url`, `fileName` -> `title`, `fileSize` -> `file_size`, `type` -> `mime_type`, `thumbnails` -> `thumb_url`.
`thumbnailSizes` -> `Thumbnail[]` pre-generated	single CDN `thumb_url`	manual	curated	4. Attachments & media	No server-side multi-size thumbnails; resize client-side. For **video**, generate a poster frame yourself and set `attachment.thumb_url` before sending.
`AppInfo.uploadSizeLimit` / `multipleFilesMessageFileCountLimit` (server)	`AttachmentManager` config (`maxNumberOfFilesPerMessage`) + 100 MB Stream cap	agent-guided	curated	4. Attachments & media	Count limit moves client-side; use `availableUploadSlots()` to gate the attach button. Pre-upload compression is a `doFileUploadRequest` hook on `<Channel>`, not a param.
`cancelUploadingFileMessage`	`AttachmentManager.cancelAttachmentUploads()` / `clearAttachments()`	agent-guided	curated	4. Attachments & media	For manual uploads cancelled pre-send, call `channel.deleteImage(url)` / `deleteFile(url)` to avoid orphaned CDN files.
Voice messages (Sendbird `enableVoiceMessage: true`)	built-in `AudioPlayer` / `AudioRecorder` + `useAudioRecorder`	agent-guided	curated	4. Attachments & media	-> sendbird-notes.md#voice-messages-sendbird-enablevoicemessage-true
`new GroupChannelHandler({ onMessageReceived, ... })` + `addGroupChannelHandler(key, h)` / `removeGroupChannelHandler(key)`	`client.on(type, cb)` / `channel.on(type, cb)` -> `{ unsubscribe }`	agent-guided	curated	5. Events & real-time	Keyed registration -> retained `unsubscribe` handle called in effect cleanup. **Drop the string-key bookkeeping.** Events arrive only for **watched** channels.
Named typed callbacks (`onMessageReceived`, `onMessageUpdated`, `onTypingStatusUpdated`, `onUserMarkedRead`, ...)	one `(event) => void` per string type (`'message.new'`, `'message.updated'`, `'typing.start'`/`'typing.stop'`, `'message.read'`, ...)	agent-guided	curated	5. Events & real-time	Narrow by `event.type`. Granularity differs: one `onTypingStatusUpdated` = `typing.start` + `typing.stop`.
Sendbird does NOT echo your own send	Stream UI components subscribe to WS events internally	agent-guided	curated	5. Events & real-time	**Don't hand-wire message listeners to update the list** - `MessageList` re-renders from events automatically. Subscribe by hand only for side-effects the components don't own (badges, analytics, nav).
`MessageCollection` + `setMessageCollectionHandler` (`onMessagesAdded/Updated/Deleted`)	`channel.watch()` loads `channel.state.messages`; `channel.on(...)` keeps it live	agent-guided	curated	5. Events & real-time	No collection object. Mount `<Channel><MessageList/></Channel>` and read context hooks. `collection.dispose()` -> call the retained `unsubscribe()`s (unmount handles teardown; no `dispose` to look for).
`MessageCollectionInitPolicy.CACHE_AND_REPLACE_BY_API` (`onCacheResult` + `onApiResult`)	`await channel.watch()` (offline hydration automatic)	manual	curated	5. Events & real-time	No cache-first callback pair. With `enableOfflineSupport` the SDK loads local state first, then reconciles from the API transparently.
`onHugeGapDetected` + changelog APIs	automatic reconnect recovery / `client.sync(cids, lastSyncAt)`	manual	curated	5. Events & real-time	Gap-fill after reconnect is automatic (`recoverStateOnReconnect`). Delete the changelog-rebuild logic.
`UserEventHandler` (`onTotalUnreadMessageCountChanged`, blocked/unblocked)	`client.on(e => ...)` reading `e.total_unread_count`, etc.	agent-guided	curated	5. Events & real-time	Unread totals ride ordinary events; block/unblock surface via user-level events + `client.getBlockedUsers()`.
`FeedChannelHandler`	`notification.message_new` / `notification.added_to_channel` / `notification.removed_from_channel`	manual	curated	5. Events & real-time	No feed-channel product; `notification.*` events fire on the client for member (non-watched) channels.
`startTyping()` / `endTyping()` + app timeout	`channel.keystroke()` (self-throttles, auto-emits stop) / `channel.stopTyping()`	agent-guided	curated	6. Typing, presence, read state	Delete the manual timer; `MessageComposer` calls `keystroke()` for you. Toggle with the `sendTypingEvents` Channel prop.
`typingIndicatorThrottle` (ms)	- (gap)	manual	curated	6. Typing, presence, read state	No client-configurable throttle; the SDK debounces internally. Throttle your own `keystroke()` calls if driving typing manually.
`getTypingUsers()` (pull) / `TypingIndicatorType` enum	`useTypingContext().typing` + built-in `<TypingIndicator>`	agent-guided	curated	6. Typing, presence, read state	In preview rows use `useChannelTypingState({ channel }).usersTyping`. Filter out your own id.
Presence: `connectionStatus` / poll on interval	`client.queryUsers(..., { presence: true })` once + `user.presence.changed` events	agent-guided	curated	6. Typing, presence, read state	Real-time push replaces the poll. Stream tracks presence only for users you subscribed to (`presence: true`), else `online`/`last_active` may be stale.
Presence UI (baked into UIKit avatars)	`OnlineIndicator` + `useUserActivityStatus` + `useChannelOnlineMemberCount`	agent-guided	curated	6. Typing, presence, read state	`useIsOnline` is the **current user's own** connectivity, not another user's presence - don't confuse them.
`getReadMembers()` / `getReadStatus()` / `getUnreadMembers()` / `isReadMessage()` (per-member)	`channel.state.read` (`ChannelReadStatus` keyed by userId) + `channel.lastRead()`	agent-guided	curated	6. Typing, presence, read state	Read receipts must be enabled per channel type ("Read Events") or `markRead()` is a no-op. Derive readers from `read[userId].last_read >= message.created_at`.
`channel.unreadMessageCount` / `unreadMentionCount` (live props)	`channel.countUnread()` / `countUnreadMentions()` (methods)	agent-guided	curated	6. Typing, presence, read state	Global totals via `client.getUnreadCount()` (async) + `e.total_unread_count` on events. No per-channel "unread reply count" - thread unread is `Thread.ownUnreadCount`.
`getDeliveryStatus` / `getUndeliveredMemberCount` / `markAsDelivered`	`channel.messageReceiptsTracker` (`deliveredForMessage` / `deliveredNotReadForMessage` / `hasUserDelivered`) + `message.delivered` event; RN renders it in the default `<MessageStatus>`	agent-guided	curated	6. Typing, presence, read state	-> sendbird-notes.md#getdeliverystatus-getundeliveredmembercount-mark
`createMyGroupChannelListQuery` / `GroupChannelCollection`	`client.queryChannels({ members: { $in: [me] } }, sort, options)`	agent-guided	curated	7. Pagination: every stateful cursor dies	-> sendbird-notes.md#createmygroupchannellistquery-groupchannelcollec
`createPublicGroupChannelListQuery`	`queryChannels` with a discoverable-type filter	agent-guided	curated	7. Pagination: every stateful cursor dies	offset/limit
`OpenChannelListQuery` / `createOpenChannelListQuery`	`queryChannels({ type: 'livestream', ... })`	agent-guided	curated	7. Pagination: every stateful cursor dies	offset/limit
`MessageCollection.loadPrevious()` / `loadNext()`	`channel.query({ messages: { limit, id_lt: oldestId } })` (or `id_gt`)	agent-guided	curated	7. Pagination: every stateful cursor dies	id cursor, not timestamp/offset. UI: `usePaginatedMessageListContext().loadMore` / `loadMoreRecent`.
`createPreviousMessageListQuery().load()`	same as above; for open channels, `channel.query({ messages: { limit } })` after `watch()`	agent-guided	curated	7. Pagination: every stateful cursor dies	id cursor. `MessageList` loads older pages on scroll automatically.
`startingPoint` timestamp jump	`channel.state.loadMessageIntoState(messageId)` (or `channel.query({ messages: { id_around, limit } })`); `loadLatestMessages()` for the tail	agent-guided	curated	7. Pagination: every stateful cursor dies	message-id anchor
`getMessagesByTimestamp`	`channel.query({ messages: { created_at_around: <ISO>, limit } })`	agent-guided	curated	7. Pagination: every stateful cursor dies	convert epoch-ms -> ISO first
`createApplicationUserListQuery`	`client.queryUsers(filters, sort, { offset, limit })`	agent-guided	curated	7. Pagination: every stateful cursor dies	-> sendbird-notes.md#createapplicationuserlistquery
`BannedUserListQuery`	`client.queryBannedUsers({ channel_cid? }, sort, { offset, limit })`	agent-guided	curated	7. Pagination: every stateful cursor dies	read `response.bans[]`
`createOperatorListQuery`	`channel.queryMembers({ channel_role: 'channel_moderator' }, sort, options)`	agent-guided	curated	7. Pagination: every stateful cursor dies	-
`createMemberListQuery`	`channel.queryMembers(filter, sort, options)`	agent-guided	curated	7. Pagination: every stateful cursor dies	`MemberStateFilter.INVITED/JOINED` -> filter on `invited`
`MessageSearchQuery` / `createMessageSearchQuery`	`client.search(channelFilters, query, { limit, next })`	agent-guided	curated	7. Pagination: every stateful cursor dies	`next` cursor, not `hasNext`
`createThreadedParentMessageListQuery`	`client.queryThreads(options)` (cross-channel inbox)	agent-guided	curated	7. Pagination: every stateful cursor dies	returns `Thread` objects
Thread replies (`getThreadedMessagesByTimestamp`)	`channel.getReplies(parentId, { limit, id_lt })`	agent-guided	curated	7. Pagination: every stateful cursor dies	id cursor
`ScheduledMessageListQuery`	-	agent-guided	curated	7. Pagination: every stateful cursor dies	Feature gap (section 15).
`channel.invite(users)` / `inviteWithUserIds(ids)`	`channel.inviteMembers(ids)`; invitee calls `acceptInvite()` / `rejectInvite()`	agent-guided	curated	8. Membership, roles & moderation	Pass **ids**, not `User` objects. Use `addMembers` instead if your app auto-accepts invites (immediate membership, no pending state).
`channel.join(accessCode?)`	`channel.addMembers([client.userID])` (private) or `watch()` (open)	agent-guided	curated	8. Membership, roles & moderation	No dedicated self-join; drop `accessCode` and move access control to channel-type permissions.
`channel.leave(shouldRemoveOperatorStatus?)`	`channel.removeMembers([client.userID])` (+ `stopWatching()`)	agent-guided	curated	8. Membership, roles & moderation	Open-channel `exit()` -> `stopWatching()`. `shouldRemoveOperatorStatus` has no analog (roles drop on leave).
Remove another member (no client method in Sendbird)	`channel.removeMembers(ids)`	agent-guided	curated	8. Membership, roles & moderation	Stream has a first-class client-side remove (Sendbird required server/ban).
`myRole: Role` (`OPERATOR` | `NONE`) / `Member.role`	`channel.state.membership.channel_role` + `own_capabilities`	agent-guided	curated	8. Membership, roles & moderation	-> sendbird-notes.md#myrole-role-operator-none-member-role
`addOperators(ids)` / `removeOperators(ids)`	`channel.addModerators(ids)` / `channel.demoteModerators(ids)` — **server-side only**	GAP (server-side)	curated	8. Membership, roles & moderation	-> sendbird-notes.md#addoperators-ids-removeoperators-ids
`channel.muteUser(user, duration?)` - **operator-enforced silencing**	timed `channel.banUser(id, { timeout, reason })`	agent-guided	curated	8. Membership, roles & moderation	**`client.muteUser` is the WRONG target** - it is a personal, caller-scoped mute that does NOT stop the target from posting. Reserve it for an "I don't want to hear from X" feature. Kill-list #5.
`blockUser(user)` - **global**	`client.blockUser(id)` - **DM-only**	agent-guided	curated	8. Membership, roles & moderation	Blocked users still post in shared group channels. Filter client-side or ban/moderate for group hiding. `unBlockUser(id)` (capital B); read state via `getBlockedUsers()`.
`channel.report(category, desc)`	- (gap)	manual	curated	8. Membership, roles & moderation	No channel-report endpoint - flag a representative message instead.
`reportMessage` / `reportUser` + `ReportCategory` enum	`client.flagMessage(id, { reason })` / `client.flagUser(id, { reason })`	agent-guided	curated	8. Membership, roles & moderation	No category enum - fold the category into the free-text `reason` (e.g. `` `${category}: ${desc}` ``). Build your own category picker. `flagMessage` is also a built-in message action.
`channel.freeze()` / `unfreeze()` + `ChannelFrozenBanner`	`channel.updatePartial({ set: { frozen: true } })`	agent-guided	curated	8. Membership, roles & moderation	A data field, not a method; no built-in banner - read `frozen` / the `disabled` ChannelContext flag, set `disableIfFrozenChannel`, and render your own banner.
`channel.banUser(user, durationSec?, desc?)` / `unbanUserWithUserId`	`channel.banUser(id, { timeout?, reason? })` / `channel.unbanUser(id)`	agent-guided	curated	8. Membership, roles & moderation	Pass the user **id**; **convert duration -> minutes** (`timeout = Math.round(ms/60000)`; confirm the Sendbird unit). Stream adds app-wide (`client.banUser`) + shadow ban (`shadowBan`/`removeShadowBan`). Kill-list #6.
`createMessageSearchQuery(params)` + `.next()`	`client.search(channelFilters, query, options)`	agent-guided	curated	9. Search	Stateless; full-text search must be enabled on the app. `MessageSearchOrder` -> a `SearchMessageSort` object (`{ created_at: -1 }`); relevance is the default.
`MessageFilter` (type/customType/sender)	`MessageFilters` object folded into `client.search`	agent-guided	curated	9. Search	Rebuild as `{ type, 'attachments.type', user_id: { $in } }`; no message-filter class.
UIKit `createMessageSearchFragment`	`Channel.search` / `MessageSearchSource` + your own results list	manual	curated	9. Search	No prebuilt RN search screen.
`registerFCMPushTokenForCurrentUser` / `registerAPNSPushTokenForCurrentUser`	`client.addDevice(id, push_provider, userID?, push_provider_name?)`	agent-guided	curated	10. Push notifications	One call; `push_provider` is `'apn' | 'firebase' | 'huawei' | 'xiaomi'`. Call **after** `connectUser`. `push_provider_name` must match a dashboard-configured provider.
`unregister...` / `unregister...All`	`client.removeDevice(id)`	agent-guided	curated	10. Push notifications	No "remove all" helper - `getDevices()` then `removeDevice` each. On token refresh: `removeDevice(old)` then `addDevice(new)`.
(no client list)	`client.getDevices(userID?)`	agent-guided	curated	10. Push notifications	Enumerate + prune stale tokens (Stream lacks Sendbird's auto-dedupe).
`setPushTriggerOption(PushTriggerOption)` (account-wide)	`client.setPushPreferences([{ chat_level }])`	agent-guided	curated	10. Push notifications	`ALL`/`OFF`/`MENTION_ONLY` -> `'all'`/`'none'`/`'mentions'` (+ optional snooze). `addDevice`/`removeDevice` remains a valid coarse toggle.
`channel.setMyPushTriggerOption(option)` (per-channel)	`client.setPushPreferences([{ channel_cid, chat_level }])`	agent-guided	curated	10. Push notifications	-> sendbird-notes.md#channel-setmypushtriggeroption-option-per-channe
`setDoNotDisturb` / `setWeeklyDoNotDisturb` (recurring quiet hours + timezone)	- (gap)	manual	curated	10. Push notifications	Only one-shot snooze maps (a `disabled_until`-style window). Reimplement recurring DND yourself.
`setPushTemplate` at runtime	- (gap)	manual	curated	10. Push notifications	Templates are per-provider dashboard/server config (`upsertPushProvider`), not a runtime client switch.
`markPushNotificationAsDelivered` / `AsClicked` (analytics)	- (gap)	manual	curated	10. Push notifications	No client analytics calls; wire open-handling/navigation in your Notifee/messaging handlers.
`SendbirdUIKitContainer` (`appId`, `platformServices`, connects internally)	`useCreateChatClient({ apiKey, tokenOrProvider, userData })` + `<OverlayProvider><Chat client={client}>`	agent-guided	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	One container -> three pieces. `appId` -> `apiKey`; `platformServices` are **dropped** (Stream RN handles media/file/clipboard/player/recorder internally).
`_default` (SendbirdUIKit namespace)	- (gap)	manual	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	No single namespace export - import `Chat`, `ChannelList`, `Channel`, ... directly.
`createGroupChannelFragment` / `GroupChannelMessageRenderer`	`<Channel channel={c}><MessageList/><MessageComposer/></Channel>` (+ `Message` override)	agent-guided	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	`renderMessage`-style overrides -> component-swap props on `<Channel>`. **No `<Window>`.**
`createGroupChannelListFragment`	`<ChannelList filters sort options onSelect Preview />`	agent-guided	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	Row/preview overrides -> the `Preview` prop, not a module override. Pass `channel.cid` through navigation, not the `Channel` object.
`createGroupChannelThreadFragment`	`<Channel channel={c} thread={t}><Thread/></Channel>`	agent-guided	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	Set the thread via channel context; no dedicated thread fragment factory.
`FileViewer`	`<ImageGallery>` (mounted by `OverlayProvider`)	agent-guided	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	Full-screen image viewing triggered from attachments; non-image files open via the platform (no single FileViewer).
`TypingIndicatorType`	`<TypingIndicator>` (auto-rendered inside `MessageList`) or `useTypingString()`	agent-guided	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	Remove the enum-based config.
`createGroupChannelCreateFragment`	- (gap)	manual	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	No prebuilt create screen - build a user picker then `client.channel('messaging', { members }).create()`/`watch()`.
`createGroupChannelMembersFragment`	- (gap)	manual	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	Build on `Object.values(channel.state.members)` / `channel.queryMembers` + the channel-details contexts.
`createGroupChannelInviteFragment`	- (gap)	manual	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	Use `ChannelAddMembers*` contexts + `channel.inviteMembers`/`addMembers`.
`createGroupChannelModerationFragment` / `Operators` / `RegisterOperator` / `MutedMembers` / `BannedUsers`	- (gap)	manual	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	-> sendbird-notes.md#creategroupchannelmoderationfragment-operators-r
`createGroupChannelSettingsFragment` / `Notifications`	- (gap)	manual	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	Build from `channel.update`/`updatePartial` and the **push-preference API (`client.setPushPreferences([{ channel_cid, chat_level }])`)** for the notification trigger — not `channel.mute()`, which is binary and loses the mentions tier.
`createMessageSearchFragment`	- (gap)	manual	curated	11. UI components (UIKit -> stream-chat-react-native / stream-chat-expo)	Section 9.
`useSendbirdChat()`	`useChatContext()`	agent-guided	curated	12. Context hooks & selectors	`sdk`/`currentUser` -> `client` + `client.user`/`client.userID`.
`useConnection()` (`connect`/`disconnect`/`reconnect`)	`useCreateChatClient` (lifecycle) or `client.connectUser`/`disconnectUser`	agent-guided	curated	12. Context hooks & selectors	Delete manual reconnect logic (automatic).
`useGroupChannel` / `useGroupChannelContext` (`{ state, actions }`)	`useChannelContext()` + `useMessagesContext()` + `useMessageInputContext()`	agent-guided	curated	12. Context hooks & selectors	One hook splits into focused contexts; fetch via `client.channel(type,id).watch()` and render inside `<Channel>`.
